Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Impressions,Clicks,Click-Thru Rate (CTR),Bid Value,Suggested lower bid range,Suggested upper bid range,Spend,Total Advertising Cost of Sales (ACoS),Total Return on Advertising Spend (RoAS),14 Day Total Sales (₹),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate
2020-02-09,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,12,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-10,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,97,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-11,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,8,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-12,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,5,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-23,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti aging night cream,EXACT,93,0,0.0,₹ 16.96,₹ 13.42,₹ 2.22,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-24,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti aging night cream,EXACT,91,0,0.0,₹ 16.96,₹ 13.42,₹ 2.22,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-26,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti aging night cream,EXACT,26,0,0.0,₹ 16.96,₹ 13.42,₹ 2.22,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-27,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti aging night cream,EXACT,451,0,0.0,₹ 16.96,₹ 13.42,₹ 2.22,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-28,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti aging night cream,EXACT,367,0,0.0,₹ 16.96,₹ 13.42,₹ 2.22,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-21,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,190,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-23,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,58,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-24,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,329,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-25,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,246,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-26,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,32,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-27,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,53,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-28,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,246,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-29,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti wrinkle cream,EXACT,381,0,0.0,₹ 7.83,₹ 0.43,₹ 3.10,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-21,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,anti aging cream,EXACT,123,0,0.0,₹ 42.54,₹ 39.25,₹ 56.67,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-21,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,evver night cream,EXACT,2,0,0.0,₹ 11.49,₹ 5.06,₹ 18.17,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-24,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,evver night cream,EXACT,1,0,0.0,₹ 11.49,₹ 5.06,₹ 18.17,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-28,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,evver night cream,EXACT,1,0,0.0,₹ 58.62,₹ 13.98,₹ 12.72,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-29,Not grouped,INR,Night Cream || SP || Generic || 24th Nov'19,Night Cream-SP-Generic,evver night cream,EXACT,1,0,0.0,₹ 58.62,₹ 13.98,₹ 12.72,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
